Date,Province/State,Country/Region,adm0_a3,Lat,Long,Population,admin,r_admin,i_admin,ri_admin,Tot_admin,iTot_admin,rTot_admin,riTot_admin,full,r_full,i_full,ri_full,Tot_full,iTot_full,rTot_full,riTot_full
4/8/21,Greenland,Denmark,GRL,71.7069,-42.6043,56772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Dominica,DMA,15.415,-61.371,71991.0,18112.0,25158.7004,0.0,0.0,18112.0,0.0,25158.7004,0.0,337.0,468.1141,0.0,0.0,337.0,0.0,468.1141,0.0
4/8/21,NA,Dominican Republic,DOM,18.7357,-70.1627,10847904.0,910869.0,8396.7281,0.0,0.0,910869.0,0.0,8396.7281,0.0,54395.0,501.4333,0.0,0.0,54395.0,0.0,501.4333,0.0
4/8/21,NA,Ecuador,ECU,-1.8312,-78.1834,17643060.0,363255.0,2058.9115,6472.0,36.683,363255.0,6472.0,2058.9115,36.683,112624.0,638.3473,0.0,0.0,112624.0,0.0,638.3473,0.0
4/8/21,NA,Egypt,EGY,26.8206,30.8025,102334403.0,164534.0,160.7807,0.0,0.0,164534.0,0.0,160.7807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,El Salvador,SLV,13.7942,-88.8965,6486201.0,160000.0,2466.7752,0.0,0.0,160000.0,0.0,2466.7752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Equatorial Guinea,GNQ,1.6508,10.2679,1402985.0,14080.0,1003.5745,0.0,0.0,14080.0,0.0,1003.5745,0.0,2990.0,213.117,0.0,0.0,2990.0,0.0,213.117,0.0
4/8/21,NA,Estonia,EST,58.5953,25.0136,1326539.0,321414.0,24229.5176,12911.0,973.2846,321414.0,12911.0,24229.5176,973.2846,73316.0,5526.8635,1269.0,95.6625,73316.0,1269.0,5526.8635,95.6625
4/8/21,NA,Eswatini,SWZ,-26.5225,31.4659,1160164.0,27601.0,2379.0602,7339.0,632.583,27601.0,7339.0,2379.0602,632.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Ethiopia,ETH,9.145,40.4897,114963583.0,430000.0,374.0315,430000.0,374.0315,430000.0,430000.0,374.0315,374.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Fiji,FJI,-17.7134,178.065,896444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Finland,FIN,61.9241,25.7482,5540718.0,1120653.0,20225.7722,37086.0,669.3356,1120653.0,37086.0,20225.7722,669.3356,91805.0,1656.9152,1465.0,26.4406,91805.0,1465.0,1656.9152,26.4406
4/8/21,NA,France,FRA,46.2276,2.2137,65273512.0,13774307.0,21102.445,452053.0,692.552,13774307.0,452053.0,21102.445,692.552,3487479.0,5342.8702,121458.0,186.0755,3487479.0,121458.0,5342.8702,186.0755
4/8/21,NA,Gabon,GAB,-0.8037,11.6094,2225728.0,2433.0,109.3125,0.0,0.0,2433.0,0.0,109.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Gambia,GMB,13.4432,-15.3101,2416664.0,12674.0,524.442,0.0,0.0,12674.0,0.0,524.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Georgia,GEO,42.3154,43.3569,3989175.0,15693.0,393.3896,0.0,0.0,15693.0,0.0,393.3896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Germany,DEU,51.1657,10.4515,83783945.0,17189282.0,20516.2003,732660.0,874.4635,17189282.0,732660.0,20516.2003,874.4635,4871126.0,5813.9134,89759.0,107.1315,4871126.0,89759.0,5813.9134,107.1315
4/8/21,NA,Ghana,GHA,7.9465,-1.0232,31072945.0,647380.0,2083.4202,48252.0,155.2862,647380.0,48252.0,2083.4202,155.2862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/8/21,NA,Greece,GRC,39.0742,21.8243,10423056.0,2058750.0,19751.8847,55106.0,528.6933,2058750.0,55106.0,19751.8847,528.6933,704794.0,6761.8748,14046.0,134.7589,704794.0,14046.0,6761.8748,134.7589
4/8/21,NA,Grenada,GRD,12.1165,-61.679,112519.0,10717.0,9524.6136,344.0,305.7261,10717.0,344.0,9524.6136,305.7261,5.0,4.4437,3.0,2.6662,5.0,3.0,4.4437,2.6662
4/8/21,NA,Guatemala,GTM,15.7835,-90.2308,17915567.0,132611.0,740.1998,4666.0,26.0444,132611.0,4666.0,740.1998,26.0444,1626.0,9.0759,1.0,0.0056,1626.0,1.0,9.0759,0.0056
4/8/21,NA,Guinea,GIN,9.9456,-9.6966,13132792.0,84319.0,642.0493,2184.0,16.6301,84319.0,2184.0,642.0493,16.6301,9559.0,72.7873,0.0,0.0,9559.0,0.0,72.7873,0.0
